SID Name Lat_DMS Long_DMS Latitude_DD Longitude_DD East_UTM North_UTM Elevation_m Slope_deg Aspect_deg Network LongName Records_Begin
22 352709 44:07:00 123:13:00 44.116667 -123.216667 482663.02 4884853.7 111 0 0 COOP Eugene.WSO.Airport 1948
23 352867 44:07:00 123:18:00 44.116667 -123.3 475994.94 4884874.63 114 0 0 COOP Fern.Ridge.Dam 1948
24 352997 45:32:00 123:06:00 45.533333 -123.1 492191.93 5042204.61 50 2.92 206.57 COOP Forest.Grove 1948
25 353038 45:00:00 120:13:00 45 -120.216667 719369.36 4986719.57 809 3.49 270 COOP Fossil 1948
26 353047 44:25:00 122:40:00 44.416667 -122.666667 526536.97 4918206.81 194 0 0 COOP Foster.Dam 1969
27 353402 45:18:00 121:45:00 45.3 -121.75 598003.58 5017037.42 1189 2.07 251.57 COOP Government.Camp 1951
28 353542 44:31:00 120:56:00 44.516667 -120.933333 664249.2 4931337.81 1138 3.59 345.96 COOP Grizzly 1948
29 353770 45:27:00 122:09:00 45.45 -122.15 566466.5 5033293.04 261 8.36 163.44 COOP Headworks.PTLD.WTR.BR 1948
30 354606 44:37:00 122:43:00 44.616667 -122.716667 522479.4 4940407.4 233 20.91 23.5 COOP Lacomb.3.NNE 1987
31 354811 44:06:00 122:41:00 44.1 -122.683333 525345.79 4883028.46 228 16.36 2.23 COOP Leaburg.1.SW 1948
32 355050 43:55:00 122:46:00 43.916667 -122.766667 518733.46 4862643.72 239 9.85 217.87 COOP Lookout.Point.Dam 1955
33 355139 44:38:00 121:08:00 44.633333 -121.133333 648057.57 4943914.46 682 0 0 COOP Madras 1948
34 355142 44:40:00 121:09:00 44.666667 -121.15 646651.58 4947587.04 742 0 0 COOP Madras.1.NNW 1952
35 355221 44:36:00 121:57:00 44.6 -121.95 583329.91 4939053.19 804 2.92 63.43 COOP Marion.Forks.Fish.Hatchery 1948
36 355362 44:11:00 122:07:00 44.183333 -122.116667 570602.11 4892614.93 462 4.97 203.2 COOP McKenzie.Bridge.RS 1948
37 355384 45:14:00 123:11:00 45.233333 -123.183333 485609.3 5008887.65 47 0 0 COOP Mc.Minnville 1948
38 355638 44:34:00 120:07:00 44.566667 -120.116667 728958.75 4938858.86 997 22.41 184.24 COOP Mitchell.2.E 1996
39 356151 45:17:00 122:45:00 45.283333 -122.75 519606.47 5014456.32 48 0 0 COOP N.Willamette.Exp.Station 1963
40 356213 43:45:00 122:27:00 43.75 -122.45 544280.53 4844253.47 430 12.79 157.31 COOP Oakridge.Fish.Hatchery 1948
41 356243 44:24:00 120:26:00 44.4 -120.433333 704394.21 4919505.74 1256 11.84 160.91 COOP Mitchell.17.SW.Ochoco 1948
42 356334 45:21:00 122:36:00 45.35 -122.6 531333.59 5021909.97 83 6.52 306.87 COOP Oregon.City 1948
43 356532 44:44:00 121:14:00 44.733333 -121.233333 639884.96 4954845.9 547 10.97 135 COOP Pelton.Dam 1958
44 356749 45:31:00 122:41:00 45.516667 -122.683333 524732.85 5040396.89 34 2.92 63.43 COOP Portland.WB.City 1965
45 356750 45:34:00 122:32:00 45.566667 -122.533333 536416.12 5046008.92 6 0 0 COOP Portland.NWSFO 1996
46 356751 45:36:00 122:37:00 45.6 -122.616667 529895.54 5049677.76 6 2.62 180 COOP Portland.INTL.Airport 1972
47 356883 44:21:00 120:54:00 44.35 -120.9 667373.64 4912892.41 888 0 0 COOP Prineville.4.NW 1948
48 357062 44:16:00 121:09:00 44.266667 -121.15 647656.87 4903155.81 935 2.76 198.43 COOP Redmond.FAA.AP 1948
49 357466 45:52:00 122:49:00 45.866667 -122.816667 514229.98 5079249.76 37 0 0 COOP St.Helens.RFD 1976
50 357500 44:55:00 123:00:00 44.916667 -123 5e+05 4973693.19 49 1.31 90 COOP Salem.WSO.Airport 1948
51 357554 44:26:00 121:58:00 44.433333 -121.966667 582241.32 4920523.27 1121 5.01 214.38 COOP Santiam.Junction 1986
52 357809 44:52:00 122:39:00 44.866667 -122.65 527649.26 4968198.51 409 0 0 COOP Silver.Creek.Falls 1948
53 357823 45:00:00 122:46:00 45 -122.766667 518390.24 4982976.88 140 6.09 180 COOP Silverton 1962
54 357857 44:18:00 121:33:00 44.3 -121.55 615665.41 4906216.36 966 0 0 COOP Sisters 1958
55 358095 44:47:00 122:49:00 44.783333 -122.816667 514503.83 4958898.28 126 2.62 180 COOP Stayton 1951
56 358246 43:53:36 121:24:42 43.885 -121.401667 628392.89 4860341.77 1317 2.62 0 COOP Sunriver 1998
57 358466 45:07:00 122:04:00 45.116667 -122.066667 573411.5 4996334.4 481 23.31 225 COOP Three.Lynx 1931
58 358634 45:34:00 122:24:00 45.566667 -122.4 546820.71 5046078.08 5 0 0 COOP Troutdale.Substation 1948
59 358884 45:52:00 123:11:00 45.866667 -123.183333 485770.02 5079249.76 225 6.51 115.71 COOP Vernonia.2 1964
60 359316 43:41:00 121:41:00 43.683333 -121.683333 606122.86 4837544.61 1338 7.3 329.62 COOP Wickiup.Dam 1948
61 allisn 43:55:17 119:35:47 43.921389 -119.588056 773916.83 4868802.63 1639 10.01 302.66 RAWS Allison 1985
62 Badger 44:01:48 120:24:00 44.03 -120.413333 707281.66 4878458.05 1793 9.67 169.7 RAWS Badger.Creek 1985
63 bendwt 44:01:51 121:34:53 44.030833 -121.580833 613721.9 4876276.44 1626 18.97 80.43 RAWS Bend.Watershed 2001
64 bldrcr 44:43:19 122:00:11 44.721944 -122.005278 578777.63 4952543.93 1077 0.93 225 RAWS Boulder.Creek 1985
65 blrock 43:31:41 121:48:57 43.528056 -121.811389 596048.33 4820143.38 1519 31.98 330 RAWS Black.Rock 1985
66 bluerg 45:30:27 121:43:08 45.5075 -121.724167 599663.41 5040121.34 1018 24.29 279.22 RAWS Blue.Ridge 1985
67 BoardH 44:36:14 120:41:05 44.603889 -120.687222 683534.6 4941550.85 1274 10.3 326.98 RAWS Board.Hollow 1986
68 browns 43:33:46 120:14:10 43.562778 -120.246111 722409.92 4826998.36 1423 5.38 165.96 RAWS Browns.Well 1990
69 brushc 44:17:04 122:50:58 44.284444 -122.834444 513209.69 4903479.57 414 14.89 321.98 RAWS Brush.Creek.(Eugene.Port) 1986
70 cabnlk 43:30:00 121:03:00 43.5 -121.05 657648 4818188 1381 0 0 RAWS Cabin.Lake 1985
71 coldsp 44:21:00 120:07:48 44.35 -120.116667 729807.75 4914791.62 1446 2.62 270 RAWS Cold.Springs 1985
72 colgte 44:18:57 121:36:20 44.315833 -121.615833 610384.23 4907884.31 1010 2.07 18.43 RAWS Colgate 1985
73 eagle 45:22:05 122:19:52 45.368056 -122.318056 553402.42 5024064.2 176 8.76 278.53 RAWS Eagle.Creek 2002
74 emgrnt 43:28:59 122:13:49 43.483056 -122.233056 562020.55 4814745.22 1067 17.42 299.05 RAWS Emigrant 1992
75 fields 43:40:49 122:18:07 43.680278 -122.313611 555325.33 4836591.87 959 6.76 185.53 RAWS Fields 1991
76 fortrk 43:25:30 120:50:30 43.425 -120.841667 674707.18 4810274.62 1382 0 0 RAWS Fort.Rock 1986
77 haystk 44:27:01 121:07:48 44.450278 -121.116944 649826.41 4923610.65 985 2.92 296.57 RAWS Haystack 1985
78 hehebt 44:57:21 121:29:58 44.955833 -121.489167 619168.27 4979154.32 812 0 0 RAWS Hehe.Butte 1993
79 horsec 44:56:26 122:24:01 44.940556 -122.407222 546768.24 4976517.81 885 24.37 289.65 RAWS Horse.Creek 1985
80 lavabt 43:55:48 121:19:48 43.93 -121.33 634048.82 4865453.68 1340 3.9 333.43 RAWS Lava.Butte 1986
81 logcr 45:29:48 121:53:43 45.496667 -121.896667 586204.91 5038718.19 851 11.37 245.38 RAWS Log.Creek 1985
82 metols 44:37:39 121:36:53 44.6275 -121.610833 610194.83 4942510.26 1029 11.2 90 RAWS Metolius.Arm 1991
83 mitchl 44:34:55 120:10:50 44.581944 -120.181944 723716.5 4940374.8 804 3.81 30.96 RAWS Mitchell 2003
84 mutton 44:55:32 121:11:52 44.925556 -121.192222 642665.02 4976270.27 1120 26.36 225 RAWS Mutton.Mountain 1991
85 npoler 45:01:39 120:32:10 45.0275 -120.544167 693464.65 4988939.41 999 15 345.17 RAWS North.Pole.Ridge 1990
86 patjen 45:19:19 120:55:45 45.321944 -120.921944 662862.42 5020815.91 660 5.61 35.54 RAWS Patjens 1990
87 pebble 44:14:12 121:59:42 44.236667 -121.986667 580919.58 4898658.66 1076 2.92 296.57 RAWS Pebble 1991
88 pollyw 45:27:31 121:26:47 45.458611 -121.441944 621814.83 5035078.98 1003 5.01 124.38 RAWS Pollywog 1985
89 rabbit 44:19:23 119:46:01 44.323056 -119.773056 757312.86 4912820.48 1726 5.01 214.38 RAWS Brer.Rabbit 1993
90 redbox 45:01:39 121:55:16 45.0275 -121.9275 584488.96 4986564.76 995 14.23 212.74 RAWS Red.Box 1985
91 roundm 43:45:50 121:43:00 43.763889 -121.716667 603297 4846449 1531 6.45 315 RAWS Round.Mountain 1990
92 saltcr 44:02:48 120:40:10 44.046667 -120.68 685859.85 4879672.88 1215 11.04 218.66 RAWS Salt.Creek.Prinville 1986
93 slide 44:27:45 120:17:40 44.4625 -120.295833 715114.53 4926800.81 1707 7.82 340.56 RAWS Slide.Mountain 1985
94 staytn 44:47:45 122:48:51 44.795833 -122.8125 514830.26 4960287.58 135 0 0 RAWS Stayton 1996
95 sugar 43:39:49 122:37:45 43.663611 -122.630278 529809.12 4834578.38 1328 31.8 243.75 RAWS Sugarloaf 1985
96 teepee 43:50:07 121:05:00 43.835278 -121.085278 653936.44 4855359.54 1433 6.09 0 RAWS Tepee.Draw 2004
97 trout 44:06:40 122:34:30 44.111111 -122.577778 533788.06 4884300.48 686 19.01 234.9 RAWS Trout.Creek 1986
98 tumalo 44:02:58 121:24:01 44.049444 -121.416111 626881.94 4878584.07 1232 5.61 35.54 RAWS Tumalo.Ridge 2002
99 tupper 45:04:01 119:29:33 45.066944 -119.483611 776822.1 4996404.55 1291 8.66 180 RAWS Tupper 1985
100 wamic 45:14:26 121:27:11 45.240556 -121.457222 621084.51 5010831.33 1017 4.78 120.07 RAWS Wamic.Mill 1985
101 wander 45:06:34 122:11:34 45.109444 -122.192778 563500.22 4995425.32 1243 20.72 196.98 RAWS Wanderers.Peak 1985
102 wilson 45:02:23 121:40:25 45.039722 -121.673056 604511.23 4988219.47 1223 10.38 196.93 RAWS Mt.Wilson 1991
103 yellow 44:35:32 122:25:40 44.592222 -122.425556 545595.01 4937813.55 925 17.49 25.02 RAWS Yellowstone.Mountain 1986
104 20E02S 44:26:00 120:20:00 44.433333 -120.333333 712237.05 4923463 1583 4.71 326.31 SNOTEL Ochoco.Medows 1983
105 21E04S 44:35:00 121:58:00 44.583333 -121.966667 582030.65 4937184.98 1111 3.7 225 SNOTEL Marion.Forks 1981
106 21E05S 44:26:00 121:56:00 44.433333 -121.933333 584894.28 4920557.31 1165 3.9 296.57 SNOTEL Santiam.Junction 1979
107 21E06S 44:25:00 121:52:00 44.416667 -121.866667 590225.82 4918777.36 1439 2.78 45 SNOTEL Hogg.Pass 1980
108 22E07S 44:23:00 122:10:00 44.383333 -122.166667 566380.15 4914787.92 1051 14.9 203.63 SNOTEL Jump.Off.Joe 1979
109 22E08S 44:37:00 122:03:00 44.616667 -122.05 575372.15 4940807.26 1535 53.5 229.8 SNOTEL Daly.Lake 1981
110 22E09S 44:37:00 122:13:00 44.616667 -122.216667 562148.96 4940666.76 1185 12.86 25.71 SNOTEL Little.Meadows 1981
111 Young 44:26:14 121:34:00 44.43719 -121.5668 614058.7 4921431 1187 2.95 117.166 AMERIFLUX Metolius.Young.Tower 1999
112 Intermediate 44:27:09 121:33:26 44.45243 -121.5572 614792.8 4923138 1253 0.43 90 AMERIFLUX Metolius.Intermediate.Tower 2001
